模型,因变量,关系,自变量,估计值,标准误,p 值
主模型,标题密度差,回归,technical_accuracy,0.013,0.009,0.166
主模型,标题密度差,回归,回答长度差,-0.005,0.017,0.755
主模型,粗体密度差,回归,能力差,0.145,0.005,<0.001
主模型,粗体密度差,回归,冗长度差,-0.482,0.010,<0.001
主模型,粗体密度差,回归,格式倾向差,0.830,0.005,<0.001
主模型,粗体密度差,回归,用户输入长度,-0.004,0.003,0.203
主模型,粗体密度差,回归,对话轮数,0.002,0.003,0.480
主模型,粗体密度差,回归,创意写作任务,0.001,0.012,0.950
主模型,粗体密度差,回归,指令遵循任务,-0.001,0.009,0.886
主模型,粗体密度差,回归,数学任务,-0.039,0.012,0.001
主模型,粗体密度差,回归,代码任务,-0.012,0.008,0.114
主模型,粗体密度差,回归,complexity,0.005,0.007,0.461
主模型,粗体密度差,回归,creativity,-0.009,0.008,0.257
主模型,粗体密度差,回归,domain_knowledge,0.010,0.009,0.263
主模型,粗体密度差,回归,problem_solving,-0.004,0.009,0.670
主模型,粗体密度差,回归,real_world,0.005,0.008,0.560
主模型,粗体密度差,回归,specificity,0.001,0.009,0.953
主模型,粗体密度差,回归,technical_accuracy,0.002,0.008,0.777
主模型,粗体密度差,回归,回答长度差,-0.018,0.015,0.245
主模型,A 模型获胜,回归,能力差,0.155,0.003,<0.001
主模型,A 模型获胜,回归,冗长度差,-0.265,0.006,<0.001
主模型,A 模型获胜,回归,格式倾向差,-0.023,0.003,<0.001
主模型,A 模型获胜,回归,用户输入长度,0.015,0.002,<0.001
主模型,A 模型获胜,回归,对话轮数,-0.012,0.002,<0.001
主模型,A 模型获胜,回归,创意写作任务,-0.011,0.006,0.092
主模型,A 模型获胜,回归,指令遵循任务,0.000,0.005,0.974
主模型,A 模型获胜,回归,数学任务,0.028,0.007,<0.001
主模型,A 模型获胜,回归,代码任务,0.006,0.004,0.168
主模型,A 模型获胜,回归,complexity,-0.006,0.004,0.117
主模型,A 模型获胜,回归,creativity,0.001,0.004,0.804
主模型,A 模型获胜,回归,domain_knowledge,-0.008,0.005,0.106
主模型,A 模型获胜,回归,problem_solving,0.001,0.005,0.894
主模型,A 模型获胜,回归,real_world,-0.017,0.005,<0.001
主模型,A 模型获胜,回归,specificity,0.002,0.005,0.670
主模型,A 模型获胜,回归,technical_accuracy,-0.005,0.005,0.300
主模型,A 模型获胜,回归,回答长度差,0.615,0.008,<0.001
主模型,A 模型获胜,回归,标题密度差,0.017,0.002,<0.001
主模型,A 模型获胜,回归,粗体密度差,0.022,0.002,<0.001
主模型,标题密度差,协方差,粗体密度差,0.142,0.003,<0.001
主模型,标题密度差,协方差,标题密度差,0.825,0.004,<0.001
主模型,粗体密度差,协方差,粗体密度差,0.686,0.003,<0.001
主模型,回答长度差,协方差,回答长度差,0.037,0.000,<0.001
主模型,A 模型获胜,协方差,A 模型获胜,0.210,0.001,<0.001
扩展模型,回答长度差,回归,能力差,-0.008,0.002,<0.001
扩展模型,回答长度差,回归,冗长度差,0.475,0.003,<0.001
扩展模型,回答长度差,回归,格式倾向差,-0.010,0.002,<0.001
扩展模型,回答长度差,回归,用户输入长度,-0.017,0.001,<0.001
扩展模型,回答长度差,回归,对话轮数,0.019,0.001,<0.001
扩展模型,回答长度差,回归,创意写作任务,0.005,0.005,0.312
扩展模型,回答长度差,回归,指令遵循任务,-0.004,0.004,0.319
扩展模型,回答长度差,回归,数学任务,-0.028,0.005,<0.001
扩展模型,回答长度差,回归,代码任务,0.002,0.003,0.469
扩展模型,回答长度差,回归,complexity,0.005,0.003,0.147
扩展模型,回答长度差,回归,creativity,0.001,0.003,0.699
扩展模型,回答长度差,回归,domain_knowledge,-0.005,0.004,0.269
扩展模型,回答长度差,回归,problem_solving,-0.013,0.004,<0.001
扩展模型,回答长度差,回归,real_world,0.009,0.004,0.019
扩展模型,回答长度差,回归,specificity,0.005,0.004,0.155
扩展模型,回答长度差,回归,technical_accuracy,0.002,0.004,0.655
扩展模型,标题密度差,回归,能力差,0.348,0.005,<0.001
扩展模型,标题密度差,回归,冗长度差,-0.781,0.008,<0.001
扩展模型,标题密度差,回归,格式倾向差,0.654,0.006,<0.001
扩展模型,标题密度差,回归,用户输入长度,-0.003,0.003,0.369
扩展模型,标题密度差,回归,对话轮数,0.001,0.003,0.686
扩展模型,标题密度差,回归,创意写作任务,-0.010,0.013,0.452
扩展模型,标题密度差,回归,指令遵循任务,0.002,0.010,0.843
扩展模型,标题密度差,回归,数学任务,0.002,0.013,0.865
扩展模型,标题密度差,回归,代码任务,-0.007,0.008,0.379
扩展模型,标题密度差,回归,complexity,0.000,0.008,1.000
扩展模型,标题密度差,回归,creativity,-0.014,0.008,0.100
扩展模型,标题密度差,回归,domain_knowledge,-0.004,0.010,0.705
扩展模型,标题密度差,回归,problem_solving,0.017,0.009,0.078
扩展模型,标题密度差,回归,real_world,0.001,0.009,0.891
扩展模型,标题密度差,回归,specificity,0.001,0.009,0.920
扩展模型,标题密度差,回归,technical_accuracy,0.013,0.009,0.168
扩展模型,标题密度差,回归,回答长度差,-0.052,0.009,<0.001
扩展模型,粗体密度差,回归,能力差,0.143,0.005,<0.001
扩展模型,粗体密度差,回归,冗长度差,-0.464,0.008,<0.001
扩展模型,粗体密度差,回归,格式倾向差,0.828,0.005,<0.001
扩展模型,粗体密度差,回归,用户输入长度,-0.004,0.003,0.157
扩展模型,粗体密度差,回归,对话轮数,0.003,0.003,0.367
扩展模型,粗体密度差,回归,创意写作任务,0.001,0.012,0.927
扩展模型,粗体密度差,回归,指令遵循任务,-0.001,0.009,0.901
扩展模型,粗体密度差,回归,数学任务,-0.037,0.012,0.002
扩展模型,粗体密度差,回归,代码任务,-0.012,0.008,0.111
扩展模型,粗体密度差,回归,complexity,0.005,0.007,0.489
扩展模型,粗体密度差,回归,creativity,-0.009,0.008,0.252
扩展模型,粗体密度差,回归,domain_knowledge,0.010,0.009,0.294
扩展模型,粗体密度差,回归,problem_solving,-0.004,0.009,0.655
扩展模型,粗体密度差,回归,real_world,0.006,0.008,0.492
扩展模型,粗体密度差,回归,specificity,0.001,0.009,0.940
扩展模型,粗体密度差,回归,technical_accuracy,0.002,0.008,0.800
扩展模型,粗体密度差,回归,回答长度差,-0.047,0.008,<0.001
扩展模型,列表密度差,回归,能力差,-0.129,0.005,<0.001
扩展模型,列表密度差,回归,冗长度差,-0.220,0.009,<0.001
扩展模型,列表密度差,回归,格式倾向差,0.472,0.006,<0.001
扩展模型,列表密度差,回归,用户输入长度,-0.012,0.003,<0.001
扩展模型,列表密度差,回归,对话轮数,0.005,0.003,0.136
扩展模型,列表密度差,回归,创意写作任务,0.016,0.013,0.224
扩展模型,列表密度差,回归,指令遵循任务,-0.005,0.010,0.628
扩展模型,列表密度差,回归,数学任务,-0.024,0.014,0.084
扩展模型,列表密度差,回归,代码任务,-0.007,0.009,0.428
扩展模型,列表密度差,回归,complexity,0.004,0.009,0.640
扩展模型,列表密度差,回归,creativity,-0.016,0.009,0.067
扩展模型,列表密度差,回归,domain_knowledge,-0.005,0.011,0.666
扩展模型,列表密度差,回归,problem_solving,0.004,0.010,0.686
扩展模型,列表密度差,回归,real_world,-0.008,0.009,0.371
扩展模型,列表密度差,回归,specificity,0.024,0.010,0.017
扩展模型,列表密度差,回归,technical_accuracy,0.009,0.010,0.375
扩展模型,列表密度差,回归,回答长度差,-0.204,0.009,<0.001
扩展模型,A 模型获胜,回归,能力差,0.164,0.003,<0.001
扩展模型,A 模型获胜,回归,冗长度差,-0.127,0.004,<0.001
扩展模型,A 模型获胜,回归,格式倾向差,-0.015,0.004,<0.001
扩展模型,A 模型获胜,回归,用户输入长度,0.007,0.002,<0.001
扩展模型,A 模型获胜,回归,对话轮数,-0.006,0.002,<0.001
扩展模型,A 模型获胜,回归,创意写作任务,-0.009,0.006,0.164
扩展模型,A 模型获胜,回归,指令遵循任务,-0.000,0.005,0.955
扩展模型,A 模型获胜,回归,数学任务,0.017,0.007,0.011
扩展模型,A 模型获胜,回归,代码任务,0.005,0.004,0.243
扩展模型,A 模型获胜,回归,complexity,-0.004,0.004,0.292
扩展模型,A 模型获胜,回归,creativity,0.001,0.004,0.766
扩展模型,A 模型获胜,回归,domain_knowledge,-0.010,0.005,0.069
扩展模型,A 模型获胜,回归,problem_solving,-0.003,0.005,0.555
扩展模型,A 模型获胜,回归,real_world,-0.014,0.005,0.002
扩展模型,A 模型获胜,回归,specificity,0.003,0.005,0.553
扩展模型,A 模型获胜,回归,technical_accuracy,-0.003,0.005,0.542
扩展模型,A 模型获胜,回归,回答长度差,0.278,0.004,<0.001
扩展模型,A 模型获胜,回归,标题密度差,0.012,0.002,<0.001
扩展模型,A 模型获胜,回归,粗体密度差,0.017,0.002,<0.001
扩展模型,A 模型获胜,回归,列表密度差,0.012,0.002,<0.001
扩展模型,标题密度差,协方差,粗体密度差,0.142,0.003,<0.001
扩展模型,标题密度差,协方差,列表密度差,0.069,0.003,<0.001
扩展模型,标题密度差,协方差,标题密度差,0.825,0.004,<0.001
扩展模型,粗体密度差,协方差,列表密度差,0.125,0.003,<0.001
扩展模型,粗体密度差,协方差,粗体密度差,0.686,0.003,<0.001
扩展模型,列表密度差,协方差,列表密度差,0.912,0.005,<0.001
扩展模型,回答长度差,协方差,回答长度差,0.135,0.001,<0.001
扩展模型,A 模型获胜,协方差,A 模型获胜,0.213,0.001,<0.001
