lval,op,rval,Estimate,Std. Err,z-value,p-value,model_name
winner_a,~,user_tokens,0.0072,0.0017,4.2781,1.88492e-05,扩展模型
winner_a,~,turns,-0.006,0.0017,-3.5784,0.000345726,扩展模型
winner_a,~,creative_writing_bool,-0.009,0.0065,-1.3923,0.16383,扩展模型
winner_a,~,if_bool,-0.0003,0.005,-0.0565,0.95497,扩展模型
winner_a,~,math_bool,0.0169,0.0067,2.5338,0.0112829,扩展模型
winner_a,~,code_bool,0.0049,0.0042,1.1676,0.24298,扩展模型
winner_a,~,complexity,-0.0044,0.0041,-1.0546,0.291619,扩展模型
winner_a,~,creativity,0.0013,0.0042,0.2982,0.765514,扩展模型
winner_a,~,domain_knowledge,-0.0095,0.0052,-1.8204,0.0686998,扩展模型
winner_a,~,problem_solving,-0.0028,0.0048,-0.5897,0.555369,扩展模型
winner_a,~,real_world,-0.0141,0.0046,-3.0706,0.00213645,扩展模型
winner_a,~,specificity,0.0028,0.0048,0.5937,0.55274,扩展模型
winner_a,~,technical_accuracy,-0.0028,0.0047,-0.6099,0.541948,扩展模型
winner_a,~,token_diff_ab,0.2779,0.0045,61.8389,0.0,扩展模型
winner_a,~,header_density_diff,0.0117,0.0018,6.331,2.43636e-10,扩展模型
winner_a,~,bold_density_diff,0.0168,0.002,8.2415,2.22045e-16,扩展模型
winner_a,~,list_density_diff,0.012,0.0017,6.8863,5.72697e-12,扩展模型
header_density_diff,~~,bold_density_diff,0.1419,0.0027,52.0673,0.0,扩展模型
header_density_diff,~~,list_density_diff,0.0694,0.0031,22.3959,0.0,扩展模型
header_density_diff,~~,header_density_diff,0.8253,0.0042,198.7083,0.0,扩展模型
bold_density_diff,~~,list_density_diff,0.1247,0.0028,43.7871,0.0,扩展模型
bold_density_diff,~~,bold_density_diff,0.6858,0.0035,198.7083,0.0,扩展模型
list_density_diff,~~,list_density_diff,0.9117,0.0046,198.7083,0.0,扩展模型
token_diff_ab,~~,token_diff_ab,0.1347,0.0007,198.7083,0.0,扩展模型
winner_a,~~,winner_a,0.2135,0.0011,198.7083,0.0,扩展模型
