month,model,appearances
2025-07,grok-3-preview-02-24,1328
2025-07,grok-4-0709,1261
2025-07,hunyuan-turbos-20250416,511
2025-07,kimi-k2-0711-preview,2150
2025-07,llama-3.3-70b-instruct,838
2025-07,llama-4-maverick-03-26-experimental,1483
2025-07,llama-4-maverick-17b-128e-instruct,1460
2025-07,llama-4-scout-17b-16e-instruct,1499
2025-07,magistral-medium-2506,866
2025-07,minimax-m1,2356
2025-07,mistral-medium-2505,2371
2025-07,mistral-small-2506,1856
2025-07,mistral-small-3.1-24b-instruct-2503,1531
2025-07,o3-2025-04-16,2738
2025-07,o3-mini,1432
2025-07,o4-mini-2025-04-16,1502
2025-07,qwen-max-2025-01-25,710
2025-07,qwen3-235b-a22b,1288
2025-07,qwen3-235b-a22b-instruct-2507,488
2025-07,qwen3-235b-a22b-no-thinking,2628
2025-07,qwen3-30b-a3b,1418
2025-07,qwen3-coder-480b-a35b-instruct,2
2025-07,qwq-32b,718
