模型,因变量,关系,自变量,估计值,标准误,z 值,p 值
扩展模型,回答长度差,回归,specificity,0.005,0.004,1.304,0.192
扩展模型,回答长度差,回归,technical_accuracy,0.002,0.004,0.523,0.601
扩展模型,标题密度差,回归,能力差,0.348,0.005,69.837,<0.001
扩展模型,标题密度差,回归,冗长度差,-0.779,0.008,-94.890,<0.001
扩展模型,标题密度差,回归,格式倾向差,0.654,0.006,113.619,<0.001
扩展模型,标题密度差,回归,用户输入长度,-0.003,0.003,-0.936,0.349
扩展模型,标题密度差,回归,对话轮数,0.001,0.003,0.418,0.676
扩展模型,标题密度差,回归,创意写作任务,-0.009,0.013,-0.736,0.462
扩展模型,标题密度差,回归,指令遵循任务,0.002,0.010,0.216,0.829
扩展模型,标题密度差,回归,数学任务,0.002,0.013,0.155,0.877
扩展模型,标题密度差,回归,代码任务,-0.007,0.008,-0.827,0.408
扩展模型,标题密度差,回归,complexity,0.000,0.008,0.018,0.986
扩展模型,标题密度差,回归,creativity,-0.013,0.008,-1.618,0.106
扩展模型,标题密度差,回归,domain_knowledge,-0.004,0.010,-0.363,0.716
扩展模型,标题密度差,回归,problem_solving,0.016,0.009,1.739,0.082
扩展模型,标题密度差,回归,real_world,0.001,0.009,0.103,0.918
扩展模型,标题密度差,回归,specificity,0.001,0.009,0.083,0.934
扩展模型,标题密度差,回归,technical_accuracy,0.013,0.009,1.392,0.164
扩展模型,标题密度差,回归,回答长度差,-0.055,0.009,-6.274,<0.001
扩展模型,粗体密度差,回归,能力差,0.143,0.004,31.456,<0.001
扩展模型,粗体密度差,回归,冗长度差,-0.464,0.007,-61.964,<0.001
扩展模型,粗体密度差,回归,格式倾向差,0.828,0.005,157.819,<0.001
扩展模型,粗体密度差,回归,用户输入长度,-0.004,0.003,-1.424,0.154
扩展模型,粗体密度差,回归,对话轮数,0.003,0.003,0.910,0.363
扩展模型,粗体密度差,回归,创意写作任务,0.001,0.012,0.076,0.939
扩展模型,粗体密度差,回归,指令遵循任务,-0.001,0.009,-0.111,0.912
扩展模型,粗体密度差,回归,数学任务,-0.037,0.012,-3.094,0.002
扩展模型,粗体密度差,回归,代码任务,-0.012,0.007,-1.580,0.114
扩展模型,粗体密度差,回归,complexity,0.005,0.007,0.663,0.507
扩展模型,粗体密度差,回归,creativity,-0.009,0.008,-1.126,0.260
扩展模型,粗体密度差,回归,domain_knowledge,0.010,0.009,1.042,0.298
扩展模型,粗体密度差,回归,problem_solving,-0.004,0.009,-0.461,0.645
扩展模型,粗体密度差,回归,real_world,0.006,0.008,0.687,0.492
扩展模型,粗体密度差,回归,specificity,0.001,0.009,0.082,0.935
扩展模型,粗体密度差,回归,technical_accuracy,0.002,0.008,0.257,0.798
扩展模型,粗体密度差,回归,回答长度差,-0.047,0.008,-5.887,<0.001
扩展模型,列表密度差,回归,能力差,-0.129,0.005,-24.582,<0.001
扩展模型,列表密度差,回归,冗长度差,-0.223,0.009,-25.793,<0.001
扩展模型,列表密度差,回归,格式倾向差,0.473,0.006,78.171,<0.001
扩展模型,列表密度差,回归,用户输入长度,-0.012,0.004,-3.373,<0.001
扩展模型,列表密度差,回归,对话轮数,0.005,0.004,1.479,0.139
扩展模型,列表密度差,回归,创意写作任务,0.016,0.013,1.217,0.224
扩展模型,列表密度差,回归,指令遵循任务,-0.005,0.010,-0.452,0.651
扩展模型,列表密度差,回归,数学任务,-0.024,0.014,-1.751,0.080
扩展模型,列表密度差,回归,代码任务,-0.007,0.009,-0.762,0.446
扩展模型,列表密度差,回归,complexity,0.004,0.009,0.483,0.629
扩展模型,列表密度差,回归,creativity,-0.016,0.009,-1.855,0.064
扩展模型,列表密度差,回归,domain_knowledge,-0.004,0.011,-0.418,0.676
扩展模型,列表密度差,回归,problem_solving,0.004,0.010,0.405,0.686
扩展模型,列表密度差,回归,real_world,-0.008,0.009,-0.891,0.373
扩展模型,列表密度差,回归,specificity,0.023,0.010,2.352,0.019
扩展模型,列表密度差,回归,technical_accuracy,0.009,0.010,0.885,0.376
扩展模型,列表密度差,回归,回答长度差,-0.201,0.009,-21.831,<0.001
扩展模型,A 模型获胜,回归,能力差,0.163,0.003,62.101,<0.001
扩展模型,A 模型获胜,回归,冗长度差,-0.125,0.004,-27.961,<0.001
扩展模型,A 模型获胜,回归,格式倾向差,-0.015,0.004,-4.175,<0.001
扩展模型,A 模型获胜,回归,用户输入长度,0.007,0.002,4.280,<0.001
扩展模型,A 模型获胜,回归,对话轮数,-0.006,0.002,-3.605,<0.001
扩展模型,A 模型获胜,回归,创意写作任务,-0.009,0.006,-1.372,0.170
扩展模型,A 模型获胜,回归,指令遵循任务,0.000,0.005,0.002,0.998
扩展模型,A 模型获胜,回归,数学任务,0.017,0.007,2.524,0.012
扩展模型,A 模型获胜,回归,代码任务,0.005,0.004,1.164,0.245
扩展模型,A 模型获胜,回归,complexity,-0.004,0.004,-1.095,0.274
扩展模型,A 模型获胜,回归,creativity,0.001,0.004,0.292,0.770
扩展模型,A 模型获胜,回归,domain_knowledge,-0.010,0.005,-1.880,0.060
扩展模型,A 模型获胜,回归,problem_solving,-0.003,0.005,-0.591,0.554
扩展模型,A 模型获胜,回归,real_world,-0.014,0.005,-2.978,0.003
扩展模型,A 模型获胜,回归,specificity,0.003,0.005,0.530,0.596
扩展模型,A 模型获胜,回归,technical_accuracy,-0.003,0.005,-0.540,0.589
扩展模型,A 模型获胜,回归,回答长度差,0.275,0.004,61.468,<0.001
扩展模型,A 模型获胜,回归,标题密度差,0.012,0.002,6.436,<0.001
扩展模型,A 模型获胜,回归,粗体密度差,0.017,0.002,8.198,<0.001
扩展模型,A 模型获胜,回归,列表密度差,0.012,0.002,6.779,<0.001
扩展模型,标题密度差,协方差,粗体密度差,0.142,0.003,52.106,<0.001
扩展模型,标题密度差,协方差,列表密度差,0.069,0.003,22.314,<0.001
扩展模型,标题密度差,协方差,标题密度差,0.826,0.004,198.708,<0.001
扩展模型,粗体密度差,协方差,列表密度差,0.125,0.003,43.735,<0.001
扩展模型,粗体密度差,协方差,粗体密度差,0.686,0.004,198.708,<0.001
扩展模型,列表密度差,协方差,列表密度差,0.912,0.005,198.708,<0.001
扩展模型,回答长度差,协方差,回答长度差,0.137,0.001,198.708,<0.001
扩展模型,A 模型获胜,协方差,A 模型获胜,0.214,0.001,198.708,<0.001
